Ensembl Gene ID	Multiple?	% Identity with respect to Human gene	Hs Gene	HS Description	First	Ensembl Gene ID
K07A1.10	0	26	GADD45GIP1	"growth arrest and DNA-damage-inducible, gamma interacting protein 1 [Source:HGNC Symbol;Acc:29996]"	1	K07A1.10
K07A1.11	1	52	RBBP4	retinoblastoma binding protein 4 [Source:HGNC Symbol;Acc:9887]	1	K07A1.11
K07A1.11	1	46	RBBP7	retinoblastoma binding protein 7 [Source:HGNC Symbol;Acc:9890]	1	K07A1.11
K07A1.12	1	71	RBBP4	retinoblastoma binding protein 4 [Source:HGNC Symbol;Acc:9887]	1	K07A1.12
K07A1.12	1	63	RBBP7	retinoblastoma binding protein 7 [Source:HGNC Symbol;Acc:9890]	1	K07A1.12
K07A1.2	0	42	DUT	deoxyuridine triphosphatase [Source:HGNC Symbol;Acc:3078]	1	K07A1.2
K07A1.3	0	17	C19orf54	chromosome 19 open reading frame 54 [Source:HGNC Symbol;Acc:24758]	1	K07A1.3
K07A1.7	0	19	HECA	headcase homolog (Drosophila) [Source:HGNC Symbol;Acc:21041]	1	K07A1.7
K07A1.8	1	31	LMAN1	"lectin, mannose-binding, 1 [Source:HGNC Symbol;Acc:6631]"	1	K07A1.8
K07A1.8	1	24	LMAN1L	"lectin, mannose-binding, 1 like [Source:HGNC Symbol;Acc:6632]"	1	K07A1.8
K07A1.9	0	35	ATE1	arginyltransferase 1 [Source:HGNC Symbol;Acc:782]	1	K07A1.9
K07A12.1	0	22	TCF25	transcription factor 25 (basic helix-loop-helix) [Source:HGNC Symbol;Acc:29181]	1	K07A12.1
K07A12.3	1	36	ATP5L	"ATP synthase, H+ transporting, mitochondrial Fo complex, subunit G [Source:HGNC Symbol;Acc:14247]"	1	K07A12.3
K07A12.3	1	33	ATP5L2	"ATP synthase, H+ transporting, mitochondrial Fo complex, subunit G2 [Source:HGNC Symbol;Acc:13213]"	1	K07A12.3
K07A12.4	0	36	HBS1L	HBS1-like (S. cerevisiae) [Source:HGNC Symbol;Acc:4834]	1	K07A12.4
K07A12.7	0	21	MRPS15	mitochondrial ribosomal protein S15 [Source:HGNC Symbol;Acc:14504]	1	K07A12.7
K07A3.1	1	61	FBP1	"fructose-1,6-bisphosphatase 1 [Source:HGNC Symbol;Acc:3606]"	1	K07A3.1
K07A3.1	1	60	FBP2	"fructose-1,6-bisphosphatase 2 [Source:HGNC Symbol;Acc:3607]"	1	K07A3.1
K07A3.2	1	14	C6orf138	chromosome 6 open reading frame 138 [Source:HGNC Symbol;Acc:21345]	1	K07A3.2
K07A3.2	1	14	PTCHD1	patched domain containing 1 [Source:HGNC Symbol;Acc:26392]	1	K07A3.2
K07A3.2	1	15	PTCHD3	patched domain containing 3 [Source:HGNC Symbol;Acc:24776]	1	K07A3.2
K07A3.3	0	31	CLPX	ClpX caseinolytic peptidase X homolog (E. coli) [Source:HGNC Symbol;Acc:2088]	1	K07A3.3
K07A9.2	1	57	CAMK1	calcium/calmodulin-dependent protein kinase I [Source:HGNC Symbol;Acc:1459]	1	K07A9.2
K07A9.2	1	53	CAMK1D	calcium/calmodulin-dependent protein kinase ID [Source:HGNC Symbol;Acc:19341]	1	K07A9.2
K07A9.2	1	39	CAMK1G	calcium/calmodulin-dependent protein kinase IG [Source:HGNC Symbol;Acc:14585]	1	K07A9.2
K07A9.2	1	28	CAMKV	CaM kinase-like vesicle-associated [Source:HGNC Symbol;Acc:28788]	1	K07A9.2
K07A9.2	1	43	PNCK	pregnancy up-regulated non-ubiquitously expressed CaM kinase [Source:HGNC Symbol;Acc:13415]	1	K07A9.2
K07B1.2	0	37	COQ6	"coenzyme Q6 homolog, monooxygenase (S. cerevisiae) [Source:HGNC Symbol;Acc:20233]"	1	K07B1.2
K07B1.3	0	48	SLC25A27	"solute carrier family 25, member 27 [Source:HGNC Symbol;Acc:21065]"	1	K07B1.3
K07B1.4	1	31	AC004876.1	Putative diacylglycerol O-acyltransferase 2-like protein 7 [Source:UniProtKB/Swiss-Prot;Acc:Q6IED9]	1	K07B1.4
K07B1.4	1	38	AWAT1	acyl-CoA wax alcohol acyltransferase 1 [Source:HGNC Symbol;Acc:23252]	1	K07B1.4
K07B1.4	1	34	AWAT2	acyl-CoA wax alcohol acyltransferase 2 [Source:HGNC Symbol;Acc:23251]	1	K07B1.4
K07B1.4	1	34	DGAT2	diacylglycerol O-acyltransferase 2 [Source:HGNC Symbol;Acc:16940]	1	K07B1.4
K07B1.4	1	41	DGAT2L6	diacylglycerol O-acyltransferase 2-like 6 [Source:HGNC Symbol;Acc:23250]	1	K07B1.4
K07B1.4	1	42	MOGAT1	monoacylglycerol O-acyltransferase 1 [Source:HGNC Symbol;Acc:18210]	1	K07B1.4
K07B1.4	1	40	MOGAT2	monoacylglycerol O-acyltransferase 2 [Source:HGNC Symbol;Acc:23248]	1	K07B1.4
K07B1.4	1	39	MOGAT3	monoacylglycerol O-acyltransferase 3 [Source:HGNC Symbol;Acc:23249]	1	K07B1.4
K07B1.5	0	37	LPGAT1	lysophosphatidylglycerol acyltransferase 1 [Source:HGNC Symbol;Acc:28985]	1	K07B1.5
K07B1.7	0	33	GPATCH3	G patch domain containing 3 [Source:HGNC Symbol;Acc:25720]	1	K07B1.7
K07C10.1	1	14	C6orf138	chromosome 6 open reading frame 138 [Source:HGNC Symbol;Acc:21345]	1	K07C10.1
K07C10.1	1	13	PTCHD1	patched domain containing 1 [Source:HGNC Symbol;Acc:26392]	1	K07C10.1
K07C10.1	1	13	PTCHD3	patched domain containing 3 [Source:HGNC Symbol;Acc:24776]	1	K07C10.1
K07C11.1	1	19	PAX1	paired box 1 [Source:HGNC Symbol;Acc:8615]	1	K07C11.1
K07C11.1	1	30	PAX9	paired box 9 [Source:HGNC Symbol;Acc:8623]	1	K07C11.1
K07C11.2	0	7	STK36	serine/threonine kinase 36 [Source:HGNC Symbol;Acc:17209]	1	K07C11.2
K07C11.7	1	30	MPPED1	metallophosphoesterase domain containing 1 [Source:HGNC Symbol;Acc:1306]	1	K07C11.7
K07C11.7	1	32	MPPED2	metallophosphoesterase domain containing 2 [Source:HGNC Symbol;Acc:1180]	1	K07C11.7
K07C11.9	0	23	COG6	component of oligomeric golgi complex 6 [Source:HGNC Symbol;Acc:18621]	1	K07C11.9
K07C5.1	0	75	ACTR2	ARP2 actin-related protein 2 homolog (yeast) [Source:HGNC Symbol;Acc:169]	1	K07C5.1
K07C5.4	0	47	NOP56	NOP56 ribonucleoprotein homolog (yeast) [Source:HGNC Symbol;Acc:15911]	1	K07C5.4
K07C5.5	1	15	EPHX2	"epoxide hydrolase 2, cytoplasmic [Source:HGNC Symbol;Acc:3402]"	1	K07C5.5
K07C5.5	1	27	EPHX3	epoxide hydrolase 3 [Source:HGNC Symbol;Acc:23760]	1	K07C5.5
K07C5.5	1	31	EPHX4	epoxide hydrolase 4 [Source:HGNC Symbol;Acc:23758]	1	K07C5.5
K07C5.6	0	44	SLU7	SLU7 splicing factor homolog (S. cerevisiae) [Source:HGNC Symbol;Acc:16939]	1	K07C5.6
K07C5.8	1	35	STRN	"striatin, calmodulin binding protein [Source:HGNC Symbol;Acc:11424]"	1	K07C5.8
K07C5.8	1	35	STRN3	"striatin, calmodulin binding protein 3 [Source:HGNC Symbol;Acc:15720]"	1	K07C5.8
K07C5.8	1	32	STRN4	"striatin, calmodulin binding protein 4 [Source:HGNC Symbol;Acc:15721]"	1	K07C5.8
K07D4.3	0	75	PSMD14	"proteasome (prosome, macropain) 26S subunit, non-ATPase, 14 [Source:HGNC Symbol;Acc:16889]"	1	K07D4.3
K07D4.7	1	21	ARHGEF15	Rho guanine nucleotide exchange factor (GEF) 15 [Source:HGNC Symbol;Acc:15590]	1	K07D4.7
K07D4.7	1	31	ARHGEF16	Rho guanine nucleotide exchange factor (GEF) 16 [Source:HGNC Symbol;Acc:15515]	1	K07D4.7
K07D4.7	1	23	ARHGEF19	Rho guanine nucleotide exchange factor (GEF) 19 [Source:HGNC Symbol;Acc:26604]	1	K07D4.7
K07D4.7	1	26	ARHGEF26	Rho guanine nucleotide exchange factor (GEF) 26 [Source:HGNC Symbol;Acc:24490]	1	K07D4.7
K07D4.7	1	11	ARHGEF5	Rho guanine nucleotide exchange factor (GEF) 5 [Source:HGNC Symbol;Acc:13209]	1	K07D4.7
K07D4.7	1	26	NGEF	neuronal guanine nucleotide exchange factor [Source:HGNC Symbol;Acc:7807]	1	K07D4.7
K07D4.8	0	22	IFI30	"interferon, gamma-inducible protein 30 [Source:HGNC Symbol;Acc:5398]"	1	K07D4.8
K07D8.1	1	17	EFEMP1	EGF containing fibulin-like extracellular matrix protein 1 [Source:HGNC Symbol;Acc:3218]	1	K07D8.1
K07D8.1	1	19	EFEMP2	EGF containing fibulin-like extracellular matrix protein 2 [Source:HGNC Symbol;Acc:3219]	1	K07D8.1
K07D8.1	1	20	FBLN5	fibulin 5 [Source:HGNC Symbol;Acc:3602]	1	K07D8.1
K07D8.1	1	16	FBLN7	fibulin 7 [Source:HGNC Symbol;Acc:26740]	1	K07D8.1
K07E1.1	0	31	ADI1	acireductone dioxygenase 1 [Source:HGNC Symbol;Acc:30576]	1	K07E1.1
K07E3.4	1	57	AL445665.1	0	1	K07E3.4
K07E3.4	1	42	MTHFD1	"methylenetetrahydrofolate dehydrogenase (NADP+ dependent) 1, methenyltetrahydrofolate cyclohydrolase, formyltetrahydrofolate synthetase [Source:HGNC Symbol;Acc:7432]"	1	K07E3.4
K07E3.4	1	44	MTHFD1L	methylenetetrahydrofolate dehydrogenase (NADP+ dependent) 1-like [Source:HGNC Symbol;Acc:21055]	1	K07E3.4
K07E3.7	1	33	ATP13A2	ATPase type 13A2 [Source:HGNC Symbol;Acc:30213]	1	K07E3.7
K07E3.7	1	34	ATP13A3	ATPase type 13A3 [Source:HGNC Symbol;Acc:24113]	1	K07E3.7
K07E3.7	1	32	ATP13A4	ATPase type 13A4 [Source:HGNC Symbol;Acc:25422]	1	K07E3.7
K07E3.7	1	30	ATP13A5	ATPase type 13A5 [Source:HGNC Symbol;Acc:31789]	1	K07E3.7
K07E3.8	1	28	PGRMC1	progesterone receptor membrane component 1 [Source:HGNC Symbol;Acc:16090]	1	K07E3.8
K07E3.8	1	22	PGRMC2	progesterone receptor membrane component 2 [Source:HGNC Symbol;Acc:16089]	1	K07E3.8
K07E8.7	0	26	RPUSD2	RNA pseudouridylate synthase domain containing 2 [Source:HGNC Symbol;Acc:24180]	1	K07E8.7
K07F5.11	0	8	ELN	elastin [Source:HGNC Symbol;Acc:3327]	1	K07F5.11
K07F5.12	0	30	TMEM144	transmembrane protein 144 [Source:HGNC Symbol;Acc:25633]	1	K07F5.12
K07F5.13	0	27	NUP54	nucleoporin 54kDa [Source:HGNC Symbol;Acc:17359]	1	K07F5.13
K07F5.14	0	7	NOL8	nucleolar protein 8 [Source:HGNC Symbol;Acc:23387]	1	K07F5.14
K07F5.15	0	65	TMEM167B	transmembrane protein 167B [Source:HGNC Symbol;Acc:30187]	1	K07F5.15
K07F5.16	0	25	DNAJC12	"DnaJ (Hsp40) homolog, subfamily C, member 12 [Source:HGNC Symbol;Acc:28908]"	1	K07F5.16
K07F5.8	1	15	PTPN1	"protein tyrosine phosphatase, non-receptor type 1 [Source:HGNC Symbol;Acc:9642]"	1	K07F5.8
K07F5.8	1	16	PTPN2	"protein tyrosine phosphatase, non-receptor type 2 [Source:HGNC Symbol;Acc:9650]"	1	K07F5.8
K07F5.8	1	13	PTPN9	"protein tyrosine phosphatase, non-receptor type 9 [Source:HGNC Symbol;Acc:9661]"	1	K07F5.8
K07G5.1	1	18	LRRC16A	leucine rich repeat containing 16A [Source:HGNC Symbol;Acc:21581]	1	K07G5.1
K07G5.1	1	18	LRRC16B	leucine rich repeat containing 16B [Source:HGNC Symbol;Acc:20272]	1	K07G5.1
K07G5.1	1	16	RLTPR	"RGD motif, leucine rich repeats, tropomodulin domain and proline-rich containing [Source:HGNC Symbol;Acc:27089]"	1	K07G5.1
K07G5.2	0	33	XPA	"xeroderma pigmentosum, complementation group A [Source:HGNC Symbol;Acc:12814]"	1	K07G5.2
K07G5.3	1	11	C10orf131	chromosome 10 open reading frame 131 [Source:HGNC Symbol;Acc:31667]	1	K07G5.3
K07G5.3	1	15	CC2D2A	coiled-coil and C2 domain containing 2A [Source:HGNC Symbol;Acc:29253]	1	K07G5.3
K07G5.3	1	24	CC2D2B	coiled-coil and C2 domain containing 2B [Source:HGNC Symbol;Acc:31666]	1	K07G5.3
K07H8.1	0	28	TBCE	tubulin folding cofactor E [Source:HGNC Symbol;Acc:11582]	1	K07H8.1
K07H8.10	0	16	NCL	nucleolin [Source:HGNC Symbol;Acc:7667]	1	K07H8.10
K07H8.2	1	42	SLC41A1	"solute carrier family 41, member 1 [Source:HGNC Symbol;Acc:19429]"	1	K07H8.2
K07H8.2	1	37	SLC41A2	"solute carrier family 41, member 2 [Source:HGNC Symbol;Acc:31045]"	1	K07H8.2
K07H8.2	1	37	SLC41A3	"solute carrier family 41, member 3 [Source:HGNC Symbol;Acc:31046]"	1	K07H8.2
K07H8.3	1	54	NAA10	"N(alpha)-acetyltransferase 10, NatA catalytic subunit [Source:HGNC Symbol;Acc:18704]"	1	K07H8.3
K07H8.3	1	53	NAA11	"N(alpha)-acetyltransferase 11, NatA catalytic subunit [Source:HGNC Symbol;Acc:28125]"	1	K07H8.3
K07H8.9	1	12	KHDRBS1	"KH domain containing, RNA binding, signal transduction associated 1 [Source:HGNC Symbol;Acc:18116]"	1	K07H8.9
K07H8.9	1	15	KHDRBS2	"KH domain containing, RNA binding, signal transduction associated 2 [Source:HGNC Symbol;Acc:18114]"	1	K07H8.9
K07H8.9	1	14	KHDRBS3	"KH domain containing, RNA binding, signal transduction associated 3 [Source:HGNC Symbol;Acc:18117]"	1	K07H8.9
K08A8.1	0	39	MAP2K7	mitogen-activated protein kinase kinase 7 [Source:HGNC Symbol;Acc:6847]	1	K08A8.1
K08A8.3	1	24	RAD21	RAD21 homolog (S. pombe) [Source:HGNC Symbol;Acc:9811]	1	K08A8.3
K08A8.3	1	23	RAD21L1	RAD21-like 1 (S. pombe) [Source:HGNC Symbol;Acc:16271]	1	K08A8.3
K08B12.3	0	49	HDHD2	haloacid dehalogenase-like hydrolase domain containing 2 [Source:HGNC Symbol;Acc:25364]	1	K08B12.3
K08B12.5	0	35	CDC42BPB	CDC42 binding protein kinase beta (DMPK-like) [Source:HGNC Symbol;Acc:1738]	1	K08B12.5
K08B4.1	1	52	RBPJ	recombination signal binding protein for immunoglobulin kappa J region [Source:HGNC Symbol;Acc:5724]	1	K08B4.1
K08B4.1	1	41	RBPJL	recombination signal binding protein for immunoglobulin kappa J region-like [Source:HGNC Symbol;Acc:13761]	1	K08B4.1
K08C7.2	1	36	FMO1	flavin containing monooxygenase 1 [Source:HGNC Symbol;Acc:3769]	1	K08C7.2
K08C7.2	1	41	FMO2	flavin containing monooxygenase 2 (non-functional) [Source:HGNC Symbol;Acc:3770]	1	K08C7.2
K08C7.2	1	37	FMO3	flavin containing monooxygenase 3 [Source:HGNC Symbol;Acc:3771]	1	K08C7.2
K08C7.2	1	35	FMO4	flavin containing monooxygenase 4 [Source:HGNC Symbol;Acc:3772]	1	K08C7.2
K08C7.2	1	40	FMO5	flavin containing monooxygenase 5 [Source:HGNC Symbol;Acc:3773]	1	K08C7.2
K08C7.2	1	36	FMO6P	flavin containing monooxygenase 6 pseudogene [Source:HGNC Symbol;Acc:24024]	1	K08C7.2
K08C7.3	1	29	LAMA3	"laminin, alpha 3 [Source:HGNC Symbol;Acc:6483]"	1	K08C7.3
K08C7.3	1	19	LAMA4	"laminin, alpha 4 [Source:HGNC Symbol;Acc:6484]"	1	K08C7.3
K08C7.3	1	30	LAMA5	"laminin, alpha 5 [Source:HGNC Symbol;Acc:6485]"	1	K08C7.3
K08C7.5	1	38	FMO1	flavin containing monooxygenase 1 [Source:HGNC Symbol;Acc:3769]	1	K08C7.5
K08C7.5	1	40	FMO2	flavin containing monooxygenase 2 (non-functional) [Source:HGNC Symbol;Acc:3770]	1	K08C7.5
K08C7.5	1	37	FMO3	flavin containing monooxygenase 3 [Source:HGNC Symbol;Acc:3771]	1	K08C7.5
K08C7.5	1	34	FMO4	flavin containing monooxygenase 4 [Source:HGNC Symbol;Acc:3772]	1	K08C7.5
K08C7.5	1	41	FMO5	flavin containing monooxygenase 5 [Source:HGNC Symbol;Acc:3773]	1	K08C7.5
K08C7.5	1	35	FMO6P	flavin containing monooxygenase 6 pseudogene [Source:HGNC Symbol;Acc:24024]	1	K08C7.5
K08C9.7	1	29	RPS27A	ribosomal protein S27a [Source:HGNC Symbol;Acc:10417]	1	K08C9.7
K08D10.2	0	26	HSCB	HscB iron-sulfur cluster co-chaperone homolog (E. coli) [Source:HGNC Symbol;Acc:28913]	1	K08D10.2
K08D10.3	1	39	SNRPA	small nuclear ribonucleoprotein polypeptide A [Source:HGNC Symbol;Acc:11151]	1	K08D10.3
K08D10.3	1	44	SNRPB2	small nuclear ribonucleoprotein polypeptide B [Source:HGNC Symbol;Acc:11155]	1	K08D10.3
K08D10.4	1	38	SNRPA	small nuclear ribonucleoprotein polypeptide A [Source:HGNC Symbol;Acc:11151]	1	K08D10.4
K08D10.4	1	43	SNRPB2	small nuclear ribonucleoprotein polypeptide B [Source:HGNC Symbol;Acc:11155]	1	K08D10.4
K08D10.7	1	21	PLSCR1	phospholipid scramblase 1 [Source:HGNC Symbol;Acc:9092]	1	K08D10.7
K08D10.7	1	19	PLSCR2	phospholipid scramblase 2 [Source:HGNC Symbol;Acc:16494]	1	K08D10.7
K08D10.7	1	20	PLSCR3	phospholipid scramblase 3 [Source:HGNC Symbol;Acc:16495]	1	K08D10.7
K08D10.7	1	20	PLSCR4	phospholipid scramblase 4 [Source:HGNC Symbol;Acc:16497]	1	K08D10.7
K08D10.7	1	20	PLSCR5	"phospholipid scramblase family, member 5 [Source:HGNC Symbol;Acc:19952]"	1	K08D10.7
K08D10.8	1	20	PLSCR1	phospholipid scramblase 1 [Source:HGNC Symbol;Acc:9092]	1	K08D10.8
K08D10.8	1	19	PLSCR2	phospholipid scramblase 2 [Source:HGNC Symbol;Acc:16494]	1	K08D10.8
K08D10.8	1	19	PLSCR3	phospholipid scramblase 3 [Source:HGNC Symbol;Acc:16495]	1	K08D10.8
K08D10.8	1	19	PLSCR4	phospholipid scramblase 4 [Source:HGNC Symbol;Acc:16497]	1	K08D10.8
K08D10.8	1	19	PLSCR5	"phospholipid scramblase family, member 5 [Source:HGNC Symbol;Acc:19952]"	1	K08D10.8
K08D12.1	1	39	PSMB6	"proteasome (prosome, macropain) subunit, beta type, 6 [Source:HGNC Symbol;Acc:9543]"	1	K08D12.1
K08D12.1	1	39	PSMB9	"proteasome (prosome, macropain) subunit, beta type, 9 (large multifunctional peptidase 2) [Source:HGNC Symbol;Acc:9546]"	1	K08D12.1
K08D12.2	0	28	RP2	retinitis pigmentosa 2 (X-linked recessive) [Source:HGNC Symbol;Acc:10274]	1	K08D12.2
K08D12.3	1	30	CNBP	"CCHC-type zinc finger, nucleic acid binding protein [Source:HGNC Symbol;Acc:13164]"	1	K08D12.3
K08D12.3	1	25	ZCCHC13	"zinc finger, CCHC domain containing 13 [Source:HGNC Symbol;Acc:31749]"	1	K08D12.3
K08D12.5	1	15	B3GALNT1	"beta-1,3-N-acetylgalactosaminyltransferase 1 (globoside blood group) [Source:HGNC Symbol;Acc:918]"	1	K08D12.5
K08D12.5	1	17	B3GALT1	"UDP-Gal:betaGlcNAc beta 1,3-galactosyltransferase, polypeptide 1 [Source:HGNC Symbol;Acc:916]"	1	K08D12.5
K08D12.5	1	12	B3GALT2	"UDP-Gal:betaGlcNAc beta 1,3-galactosyltransferase, polypeptide 2 [Source:HGNC Symbol;Acc:917]"	1	K08D12.5
K08D12.5	1	15	B3GALT4	"UDP-Gal:betaGlcNAc beta 1,3-galactosyltransferase, polypeptide 4 [Source:HGNC Symbol;Acc:919]"	1	K08D12.5
K08D12.5	1	16	B3GALT5	"UDP-Gal:betaGlcNAc beta 1,3-galactosyltransferase, polypeptide 5 [Source:HGNC Symbol;Acc:920]"	1	K08D12.5
K08E3.3	1	22	FNBP1	formin binding protein 1 [Source:HGNC Symbol;Acc:17069]	1	K08E3.3
K08E3.3	1	20	FNBP1L	formin binding protein 1-like [Source:HGNC Symbol;Acc:20851]	1	K08E3.3
K08E3.3	1	20	TRIP10	thyroid hormone receptor interactor 10 [Source:HGNC Symbol;Acc:12304]	1	K08E3.3
K08E3.4	1	16	DBN1	drebrin 1 [Source:HGNC Symbol;Acc:2695]	1	K08E3.4
K08E3.4	1	31	DBNL	drebrin-like [Source:HGNC Symbol;Acc:2696]	1	K08E3.4
K08E3.5	0	62	UGP2	UDP-glucose pyrophosphorylase 2 [Source:HGNC Symbol;Acc:12527]	1	K08E3.5
K08E3.6	0	21	RACGAP1	Rac GTPase activating protein 1 [Source:HGNC Symbol;Acc:9804]	1	K08E3.6
K08E3.7	0	26	PARK2	"parkinson protein 2, E3 ubiquitin protein ligase (parkin) [Source:HGNC Symbol;Acc:8607]"	1	K08E3.7
K08E4.1	0	42	SUPT5H	suppressor of Ty 5 homolog (S. cerevisiae) [Source:HGNC Symbol;Acc:11469]	1	K08E4.1
K08E4.2	1	25	GLTPD1	glycolipid transfer protein domain containing 1 [Source:HGNC Symbol;Acc:28116]	1	K08E4.2
K08E4.2	1	14	GLTPD2	glycolipid transfer protein domain containing 2 [Source:HGNC Symbol;Acc:33756]	1	K08E4.2
K08E4.6	1	31	TMED1	transmembrane emp24 protein transport domain containing 1 [Source:HGNC Symbol;Acc:17291]	1	K08E4.6
K08E4.6	1	36	TMED5	transmembrane emp24 protein transport domain containing 5 [Source:HGNC Symbol;Acc:24251]	1	K08E4.6
K08E5.2	1	30	SLC13A1	"solute carrier family 13 (sodium/sulfate symporters), member 1 [Source:HGNC Symbol;Acc:10916]"	1	K08E5.2
K08E5.2	1	35	SLC13A2	"solute carrier family 13 (sodium-dependent dicarboxylate transporter), member 2 [Source:HGNC Symbol;Acc:10917]"	1	K08E5.2
K08E5.2	1	34	SLC13A3	"solute carrier family 13 (sodium-dependent dicarboxylate transporter), member 3 [Source:HGNC Symbol;Acc:14430]"	1	K08E5.2
K08E5.2	1	29	SLC13A4	"solute carrier family 13 (sodium/sulfate symporters), member 4 [Source:HGNC Symbol;Acc:15827]"	1	K08E5.2
K08E5.2	1	37	SLC13A5	"solute carrier family 13 (sodium-dependent citrate transporter), member 5 [Source:HGNC Symbol;Acc:23089]"	1	K08E5.2
K08E5.3	1	19	EFEMP1	EGF containing fibulin-like extracellular matrix protein 1 [Source:HGNC Symbol;Acc:3218]	1	K08E5.3
K08E5.3	1	21	EFEMP2	EGF containing fibulin-like extracellular matrix protein 2 [Source:HGNC Symbol;Acc:3219]	1	K08E5.3
K08E5.3	1	20	FBLN5	fibulin 5 [Source:HGNC Symbol;Acc:3602]	1	K08E5.3
K08E5.3	1	17	FBLN7	fibulin 7 [Source:HGNC Symbol;Acc:26740]	1	K08E5.3
K08E7.1	0	21	KIAA1609	KIAA1609 [Source:HGNC Symbol;Acc:29325]	1	K08E7.1
K08E7.2	0	51	HSBP1	heat shock factor binding protein 1 [Source:HGNC Symbol;Acc:5203]	1	K08E7.2
K08E7.7	0	35	CUL1	cullin 1 [Source:HGNC Symbol;Acc:2551]	1	K08E7.7
K08E7.8	0	25	LRRC20	leucine rich repeat containing 20 [Source:HGNC Symbol;Acc:23421]	1	K08E7.8
K08F11.3	0	31	EIF3M	"eukaryotic translation initiation factor 3, subunit M [Source:HGNC Symbol;Acc:24460]"	1	K08F11.3
K08F11.4	0	31	YARS2	"tyrosyl-tRNA synthetase 2, mitochondrial [Source:HGNC Symbol;Acc:24249]"	1	K08F11.4
K08F11.5	1	38	RHOT1	"ras homolog gene family, member T1 [Source:HGNC Symbol;Acc:21168]"	1	K08F11.5
K08F11.5	1	44	RHOT2	"ras homolog gene family, member T2 [Source:HGNC Symbol;Acc:21169]"	1	K08F11.5
K08F4.1	0	22	CHTF18	"CTF18, chromosome transmission fidelity factor 18 homolog (S. cerevisiae) [Source:HGNC Symbol;Acc:18435]"	1	K08F4.1
K08F4.2	1	18	G3BP1	GTPase activating protein (SH3 domain) binding protein 1 [Source:HGNC Symbol;Acc:30292]	1	K08F4.2
K08F4.2	1	18	G3BP2	GTPase activating protein (SH3 domain) binding protein 2 [Source:HGNC Symbol;Acc:30291]	1	K08F4.2
K08F4.3	0	30	SSR2	"signal sequence receptor, beta (translocon-associated protein beta) [Source:HGNC Symbol;Acc:11324]"	1	K08F4.3
K08F4.4	0	40	SLC1A1	"solute carrier family 1 (neuronal/epithelial high affinity glutamate transporter, system Xag), member 1 [Source:HGNC Symbol;Acc:10939]"	1	K08F4.4
K08F4.5	1	5	CYLC1	"cylicin, basic protein of sperm head cytoskeleton 1 [Source:HGNC Symbol;Acc:2582]"	1	K08F4.5
K08F4.5	1	12	CYLC2	"cylicin, basic protein of sperm head cytoskeleton 2 [Source:HGNC Symbol;Acc:2583]"	1	K08F4.5
K08F8.1	1	42	MAPKAPK2	mitogen-activated protein kinase-activated protein kinase 2 [Source:HGNC Symbol;Acc:6887]	1	K08F8.1
K08F8.1	1	42	MAPKAPK3	mitogen-activated protein kinase-activated protein kinase 3 [Source:HGNC Symbol;Acc:6888]	1	K08F8.1
K08F8.2	0	18	NFIL3	"nuclear factor, interleukin 3 regulated [Source:HGNC Symbol;Acc:7787]"	1	K08F8.2
K08F8.4	0	55	PAH	phenylalanine hydroxylase [Source:HGNC Symbol;Acc:8582]	1	K08F8.4
K08F8.6	1	24	MED13	mediator complex subunit 13 [Source:HGNC Symbol;Acc:22474]	1	K08F8.6
K08F8.6	1	23	MED13L	mediator complex subunit 13-like [Source:HGNC Symbol;Acc:22962]	1	K08F8.6
K08F9.2	0	40	WDR1	WD repeat domain 1 [Source:HGNC Symbol;Acc:12754]	1	K08F9.2
K08H10.4	1	31	ENTPD5	ectonucleoside triphosphate diphosphohydrolase 5 [Source:HGNC Symbol;Acc:3367]	1	K08H10.4
K08H10.4	1	27	ENTPD6	ectonucleoside triphosphate diphosphohydrolase 6 (putative) [Source:HGNC Symbol;Acc:3368]	1	K08H10.4
K08H10.9	1	39	TRAPPC6A	trafficking protein particle complex 6A [Source:HGNC Symbol;Acc:23069]	1	K08H10.9
K08H10.9	1	46	TRAPPC6B	trafficking protein particle complex 6B [Source:HGNC Symbol;Acc:23066]	1	K08H10.9
K08H2.6	1	28	CBX1	chromobox homolog 1 [Source:HGNC Symbol;Acc:1551]	1	K08H2.6
K08H2.6	1	28	CBX3	chromobox homolog 3 [Source:HGNC Symbol;Acc:1553]	1	K08H2.6
K08H2.6	1	27	CBX5	chromobox homolog 5 [Source:HGNC Symbol;Acc:1555]	1	K08H2.6
K09A11.1	1	15	ZBED1	"zinc finger, BED-type containing 1 [Source:HGNC Symbol;Acc:447]"	1	K09A11.1
K09A11.1	1	10	ZBED4	"zinc finger, BED-type containing 4 [Source:HGNC Symbol;Acc:20721]"	1	K09A11.1
K09A11.1	1	10	ZBED6	"zinc finger, BED-type containing 6 [Source:HGNC Symbol;Acc:33273]"	1	K09A11.1
K09A9.1	1	11	STK40	serine/threonine kinase 40 [Source:HGNC Symbol;Acc:21373]	1	K09A9.1
K09A9.1	1	18	TRIB1	tribbles homolog 1 (Drosophila) [Source:HGNC Symbol;Acc:16891]	1	K09A9.1
K09A9.1	1	17	TRIB2	tribbles homolog 2 (Drosophila) [Source:HGNC Symbol;Acc:30809]	1	K09A9.1
K09A9.1	1	16	TRIB3	tribbles homolog 3 (Drosophila) [Source:HGNC Symbol;Acc:16228]	1	K09A9.1
